*	NAME	s	MX	dMX	MY	dMY
$	%s	%le	%le	%le	%le	%le
BR3.DVT5L4-BR3.UES16L3	152.73	0.072037265	0.013363233	1.7519409	0.0087076876
BR3.DVT6L4-BR3.UES1L3	5.467	0.0016500338	0.	2.0892929	0.
BR3.DVT6L4-BR3.UES2L3	15.285	0.086100144	0.16895018	4.8803904	0.051345357
BR3.DVT6L4-BR3.UES3L3	25.103	0.0086969603	0.1359422	-3.8291011	0.037659184
BR3.DVT6L4-BR3.UES4L3	34.92	-0.027758457	0.15287184	-3.9577014	0.077487569
BR3.DVT6L4-BR3.UES5L3	44.738	0.018559706	0.18507933	4.9403198	0.057140359
BR3.DVT6L4-BR3.UES6L3	54.555	0.01452891	0.20165347	2.2289328	0.062732323
BR3.DVT6L4-BR3.UES7L3	64.373	-0.065640349	0.14996063	5.2654361	0.
BR3.DVT6L4-BR3.UES8L3	74.19	-0.048098756	0.12303372	-2.8426623	0.019904736
BR3.DVT6L4-BR3.UES9L3	84.008	0.088108069	0.14548901	-4.5895158	0.018563114
BR3.DVT6L4-BR3.UES10L3	93.825	0.069645405	0.15940442	4.1006579	0.068399719
BR3.DVT6L4-BR3.UES11L3	103.643	-0.11264412	0.18536371	3.2422175	0.060439688
BR3.DVT6L4-BR3.UES12L3	113.46	-0.090232494	0.11645205	-5.2908409	0.038851423
BR3.DVT6L4-BR3.UES13L3	123.278	0.11325923	0.18923876	-1.5568177	0.059497312
BR3.DVT6L4-BR3.UES14L3	133.095	0.10278865	0.	5.3223194	0.
